"time","date","symbol","event","actual","deviation","consensus","previous","day_value","date_time"
"22:30",2022-10-10,"AUD","AiG Performance of Services Index(Sep)",48,NA,NA,53.3,"09",2022-10-10 09:30:00
"08:30",2022-10-10,"EUR","Sentix Investor Confidence(Oct)",38.3,0.99,34.7,31.8,"10",2022-10-10 19:30:00
"21:45",2022-10-11,"NZD","Electronic Card Retail Sales  (MoM)(Sep)",0.014,NA,NA,0.01,"10",2022-10-11 08:45:00
"21:45",2022-10-11,"NZD","Electronic Card Retail Sales (YoY)(Sep)",0.286,NA,NA,0.269,"10",2022-10-11 08:45:00
"23:01",2022-10-11,"GBP","BRC Like-For-Like Retail Sales (YoY)(Sep)",0.018,NA,NA,0.005,"10",2022-10-11 10:01:00
"23:30",2022-10-11,"AUD","Westpac Consumer Confidence(Oct)",0.009,NA,NA,0.039,"10",2022-10-11 10:30:00
"23:50",2022-10-11,"JPY","Current Account n.s.a.(Aug)",5.89e+10,0.14,1.218e+11,2.29e+11,"10",2022-10-11 10:50:00
"23:50",2022-10-11,"JPY","Trade Balance - BOP Basis(Aug)",2,2.73,1,1,"10",2022-10-11 10:50:00
"00:30",2022-10-11,"AUD","National Australia Bank's Business Conditions(Sep)",25,1.54,18,22,"11",2022-10-11 11:30:00
"00:30",2022-10-11,"AUD","National Australia Bank's Business Confidence(Sep)",5,0,5,10,"11",2022-10-11 11:30:00
"05:00",2022-10-11,"JPY","Eco Watchers Survey: Current(Sep)",48.4,0.61,44.7,45.5,"11",2022-10-11 16:00:00
"05:00",2022-10-11,"JPY","Eco Watchers Survey: Outlook(Sep)",49.2,0.67,46.2,49.4,"11",2022-10-11 16:00:00
"06:00",2022-10-11,"GBP","Average Earnings Excluding Bonus (3Mo/Yr)(Aug)",0.054,1.02,0.053,0.052,"11",2022-10-11 17:00:00
"06:00",2022-10-11,"GBP","Average Earnings Including Bonus (3Mo/Yr)(Aug)",0.06,0.11,0.059,0.055,"11",2022-10-11 17:00:00
"06:00",2022-10-11,"GBP","Claimant Count Change(Sep)",25500,2.27,11400,1100,"11",2022-10-11 17:00:00
"06:00",2022-10-11,"GBP","Claimant Count Rate(Sep)",0.039,NA,NA,0.039,"11",2022-10-11 17:00:00
"06:00",2022-10-11,"GBP","ILO Unemployment Rate (3M)(Aug)",0.035,0.75,0.036,0.036,"11",2022-10-11 17:00:00
"08:00",2022-10-11,"EUR","Industrial Output s.a. (MoM)(Aug)",0.023,1.3,0.002,0.005,"11",2022-10-11 19:00:00
"08:00",2022-10-11,"EUR","Industrial Output w.d.a (YoY)(Aug)",0.029,0.54,0.015,0.013,"11",2022-10-11 19:00:00
"08:40",2022-10-11,"EUR","3-Month Letras Auction",0.00853,NA,NA,0.00707,"11",2022-10-11 19:40:00
"08:40",2022-10-11,"EUR","9-Month Letras Auction",0.01983,NA,NA,0.01308,"11",2022-10-11 19:40:00
"10:00",2022-10-11,"USD","NFIB Business Optimism Index(Sep)",92.1,NA,NA,91.8,"11",2022-10-11 21:00:00
"12:30",2022-10-11,"CNY","M2 Money Supply (YoY)(Sep)",0.112,0.71,0.109,0.109,"11",2022-10-11 23:30:00
"12:30",2022-10-11,"CNY","New Loans(Sep)",2,1.25,1,1,"11",2022-10-11 23:30:00
"12:55",2022-10-11,"USD","Redbook Index (YoY)(Oct 7)",0.083,NA,NA,0.123,"11",2022-10-11 23:55:00
"14:00",2022-10-12,"USD","IBD/TIPP Economic Optimism (MoM)(Oct)",41.6,NA,NA,44.7,"11",2022-10-12 01:00:00
"15:30",2022-10-12,"USD","3-Month Bill Auction",0.0351,NA,NA,0.0334,"11",2022-10-12 02:30:00
"15:30",2022-10-12,"USD","6-Month Bill Auction",0.0403,NA,NA,0.0385,"11",2022-10-12 02:30:00
"17:00",2022-10-12,"USD","3-Year Note Auction",0.04318,NA,NA,0.03564,"11",2022-10-12 04:00:00
"21:45",2022-10-12,"NZD","Visitor Arrivals (YoY)(Aug)",0.04,7.85,0.409,3.442,"11",2022-10-12 08:45:00
"23:50",2022-10-12,"JPY","Machinery Orders (MoM)(Aug)",0.058,0.75,0.023,0.053,"11",2022-10-12 10:50:00
"23:50",2022-10-12,"JPY","Machinery Orders (YoY)(Aug)",0.097,0.58,0.126,0.128,"11",2022-10-12 10:50:00
"06:00",2022-10-12,"GBP","Goods Trade Balance(Aug)",1.9257e+12,0.41,2.045e+11,1.7594e+12,"12",2022-10-12 17:00:00
"06:00",2022-10-12,"GBP","Gross Domestic Product (MoM)(Aug)",0.003,0.64,0,0.001,"12",2022-10-12 17:00:00
